,alpha_00,alpha_01,alpha_02,alpha_03,alpha_04,alpha_05,alpha_06,alpha_07,alpha_08,alpha_09,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19
alpha_00,1.0,-0.05141412232566201,0.15252904082213917,0.30427017054430117,-0.28587730980124204,0.046260092829690194,-0.6571473127551284,0.03199274783810351,-0.11013784204583049,0.22319858449509997,0.860224001920228,-0.05939077005691371,-0.03484962493647844,0.01585460708526245,-0.3880228000402338,-0.005556476581970068,-0.334741794404172,0.657147312755128,0.12038041879893091,-0.32924202748829845
alpha_01,-0.05141412232566201,0.9999999999999998,-0.19574032226608695,-0.8989206723254974,0.25316273291330466,-0.08784333044162274,0.7457643497906143,-0.04400954872175066,0.10631113338711098,-0.09101762311835122,-0.4271552719345867,0.09547971841915441,0.08037510220141414,0.0019997333464388243,0.07488405382560873,-0.08675399928149037,-0.6898019249068144,-0.7457643497906143,-0.2002650797828008,0.9080509034463399
alpha_02,0.15252904082213917,-0.19574032226608695,1.0,0.22442076868220937,-0.14196924050709933,-0.038633479038964025,-0.25209657362745025,-0.058872978854590224,-0.12071032129421787,0.1106399710766808,0.2103129122816116,-0.202442102657411,-0.015686352325328223,-0.07002175439507924,-0.07125986482630274,0.12956593912577538,0.09502603752775718,0.25209657362745025,-0.06636870483389178,-0.2407349821343235
alpha_03,0.30427017054430117,-0.8989206723254974,0.2244207686822094,1.0,-0.39010184773315,0.10292703913344536,-0.8894217945076919,0.05153904478106293,-0.08023593317916833,0.1358157631766311,0.6557503723518833,-0.10901502457092169,-0.0881552993511835,0.006912467304734073,-0.16238814922198777,0.060255904092405124,0.545385591527343,0.8894217945076919,0.23697179829568923,-0.961324328722185
alpha_04,-0.28587730980124204,0.2531627329133047,-0.14196924050709933,-0.39010184773315,0.9999999999999998,-0.046411387217682364,0.3531845612435108,-0.049452710701449555,0.018332194469728696,-0.08829115671970872,-0.36667602885378414,0.07510308582607743,0.008198747673229858,-0.07777087596340068,0.1073878124620932,-0.02752620324407331,-0.010189077702118967,-0.3531845612435108,-0.13444126491540942,0.30154260708458447
alpha_05,0.0462600928296902,-0.08784333044162274,-0.03863347903896402,0.10292703913344535,-0.046411387217682364,1.0,-0.10194720663386564,-0.07464978287091478,0.005360855826296107,0.19036278507279686,0.08651463746192724,-0.02903202937930741,0.002804168068424039,-0.11101536402881615,-0.027561219094197405,-0.3389456644441102,0.03595551917272428,0.10194720663386561,0.4946538340266215,-0.10430027898418236
alpha_06,-0.6571473127551284,0.7457643497906145,-0.25209657362745025,-0.8894217945076917,0.3531845612435108,-0.10194720663386564,0.9999999999999998,-0.05236711247522803,0.14461207215534316,-0.21266632823223605,-0.858867002161516,0.11515587851076878,0.07571934562666403,-0.012466409722049597,0.29732061285944905,-0.05297570336100697,-0.35757412732751065,-1.0,-0.23793640964192644,0.9278947765096401
alpha_07,0.03199274783810352,-0.044009548721750655,-0.058872978854590224,0.051539044781062936,-0.049452710701449555,-0.07464978287091478,-0.05236711247522803,1.0,-0.009546362042465546,0.003581547735345023,0.049062396756437164,0.00392667703121547,-0.037770260738204844,0.15681769062517537,0.001713097115948866,0.02801948008275646,0.0052129658813013105,0.05236711247522808,-0.0003400540931134321,-0.04977055653081051
alpha_08,-0.11013784204583049,0.106311133387111,-0.12071032129421787,-0.08023593317916833,0.018332194469728696,0.005360855826296107,0.14461207215534316,-0.009546362042465544,1.0,-0.0304798117905475,-0.12462512976628042,0.09772966391037381,0.008299869379619526,0.03426862225452322,0.08639606841775434,-0.4524611081766362,-0.043680793269659415,-0.14461207215534316,0.010233617246397049,0.12717841021281678
alpha_09,0.22319858449509997,-0.09101762311835122,0.1106399710766808,0.1358157631766311,-0.08829115671970872,0.19036278507279683,-0.21266632823223605,0.003581547735345023,-0.0304798117905475,1.0,0.21547165944407146,-0.1064684518899848,-0.012250482880573876,-0.019206520567435638,-0.09404241843331684,-0.017410744270182726,0.007492387606487278,0.21266632823223605,0.044991530469092655,-0.15785526344002412
alpha_10,0.860224001920228,-0.42715527193458663,0.2103129122816116,0.6557503723518833,-0.3666760288537842,0.08651463746192722,-0.858867002161516,0.049062396756437164,-0.12462512976628043,0.21547165944407146,1.0,-0.10394021675330298,-0.04165800855117518,0.03457155726994501,-0.3399892473850477,0.005766958695852959,-0.16418158935168553,0.858867002161516,0.20870834847262718,-0.6454181416484356
alpha_11,-0.05939077005691371,0.09547971841915442,-0.20244210265741103,-0.10901502457092167,0.07510308582607744,-0.029032029379307406,0.11515587851076875,0.003926677031215469,0.09772966391037381,-0.10646845188998479,-0.10394021675330296,1.0,-0.025130083368295746,0.10862883865443798,-0.21848865113924162,0.10498174762810375,-0.03665125858752057,-0.1151558785107687,-0.057015448609355146,0.11439512956379864
alpha_12,-0.03484962493647844,0.08037510220141414,-0.015686352325328223,-0.0881552993511835,0.008198747673229857,0.002804168068424039,0.07571934562666403,-0.03777026073820484,0.008299869379619526,-0.012250482880573876,-0.04165800855117518,-0.02513008336829575,0.9999999999999999,-0.017830628011647396,0.07582883962561242,0.08274823186338989,-0.07528088258715683,-0.07571934562666403,-0.027213381542075577,0.07784518486584995
alpha_13,0.015854607085262453,0.0019997333464388243,-0.07002175439507924,0.0069124673047340724,-0.07777087596340068,-0.11101536402881614,-0.012466409722049597,0.15681769062517537,0.03426862225452322,-0.019206520567435634,0.03457155726994501,0.10862883865443795,-0.0178306280116474,1.0,-0.07017066930939166,0.0480325540366584,-0.04183769493800511,0.012466409722049597,-0.03674894478218911,-0.00713729369727811
alpha_14,-0.3880228000402338,0.07488405382560873,-0.07125986482630274,-0.16238814922198777,0.1073878124620932,-0.027561219094197405,0.29732061285944905,0.0017130971159488658,0.08639606841775435,-0.09404241843331684,-0.3399892473850477,-0.21848865113924165,0.07582883962561242,-0.07017066930939166,0.9999999999999999,-0.13633891702295672,0.057461888746387406,-0.29732061285944905,-0.0566526047347463,0.1810291443326523
alpha_15,-0.005556476581970068,-0.08675399928149036,0.12956593912577538,0.060255904092405124,-0.027526203244073306,-0.3389456644441101,-0.05297570336100697,0.02801948008275646,-0.45246110817663626,-0.017410744270182726,0.005766958695852959,0.10498174762810375,0.08274823186338989,0.04803255403665839,-0.13633891702295672,1.0,0.09104980753213149,0.05297570336100697,-0.3662878748121148,-0.07022723754821023
alpha_16,-0.33474179440417207,-0.6898019249068142,0.09502603752775718,0.5453855915273429,-0.010189077702118965,0.03595551917272428,-0.35757412732751065,0.005212965881301311,-0.043680793269659415,0.007492387606487278,-0.16418158935168553,-0.03665125858752057,-0.07528088258715683,-0.041837694938005106,0.0574618887463874,0.09104980753213149,1.0,0.3575741273275106,0.0789644490871327,-0.6223667571729598
alpha_17,0.6571473127551282,-0.7457643497906145,0.25209657362745025,0.8894217945076919,-0.3531845612435108,0.10194720663386561,-1.0,0.05236711247522807,-0.14461207215534316,0.21266632823223605,0.858867002161516,-0.11515587851076871,-0.07571934562666403,0.012466409722049597,-0.29732061285944905,0.05297570336100697,0.35757412732751054,0.9999999999999998,0.23793640964192644,-0.9278947765096403
alpha_18,0.1203804187989309,-0.2002650797828008,-0.06636870483389179,0.23697179829568926,-0.1344412649154094,0.4946538340266215,-0.2379364096419264,-0.0003400540931134321,0.010233617246397047,0.044991530469092655,0.2087083484726272,-0.05701544860935515,-0.02721338154207558,-0.03674894478218911,-0.0566526047347463,-0.3662878748121147,0.0789644490871327,0.2379364096419264,1.0,-0.23739200783916245
alpha_19,-0.32924202748829845,0.9080509034463399,-0.2407349821343235,-0.961324328722185,0.30154260708458447,-0.10430027898418236,0.92789477650964,-0.04977055653081051,0.12717841021281678,-0.15785526344002412,-0.6454181416484357,0.11439512956379864,0.07784518486584995,-0.007137293697278109,0.18102914433265233,-0.07022723754821023,-0.6223667571729598,-0.9278947765096403,-0.23739200783916248,1.0
