factor,weight,IC_mean,IC_std,IC_ir,RankIC_mean,RankIC_std,RankIC_ir
alpha_00,0.003115310168555148,0.002302472,0.2493349,0.00923445534283832,0.002955245055345484,0.3007956241307991,0.009824760795225497
alpha_01,0.003115310168555148,0.0033963704,0.20988756,0.016181856516312026,0.0026288851708481126,0.20418021553126053,0.012875317836231533
alpha_02,0.003115310168555148,0.0072395545,0.3343056,0.021655497947995542,0.03272759691899948,0.3302177479697284,0.09910913971195928
alpha_03,0.003115310168555148,0.008796592,0.3404492,0.025838192252265316,0.0027713384090133153,0.28698939343562474,0.009656588265605379
alpha_04,0.003115310168555148,-0.009106745,0.27311304,-0.033344233367653416,-0.01293322933235864,0.3234292487503906,-0.03998781613687632
alpha_05,0.003115310168555148,0.0072238916,0.35947168,0.02009585730206347,0.009193663725625712,0.3299040368427686,0.027867690900610354
alpha_06,0.003115310168555148,-0.013288297,0.31414086,-0.042300441009282264,-0.0052935445846045235,0.25019231345700904,-0.02115790254081073
alpha_07,0.003115310168555148,0.076739445,0.3469199,0.22120220433415325,0.07541284741176563,0.29300581555772615,0.25737662328634187
alpha_08,0.003115310168555148,0.0016139937,0.24264039,0.00665179303715462,-0.0017378860961777005,0.30661487090164363,-0.0056679771958272505
alpha_09,0.003115310168555148,-0.026178723,0.3253638,-0.08045984835372863,-0.02919576878105378,0.27859854584082056,-0.10479512264802063
alpha_10,0.003115310168555148,-0.0003990898,0.26760876,-0.0014913181243930548,0.0018324340376588706,0.3174811444180057,0.00577178856089941
alpha_11,0.003115310168555148,-0.45555234,0.40035442,-1.137872650535935,-0.41490609494478753,0.3318248265506543,-1.2503768908930635
alpha_12,0.003115310168555148,-0.0045062434,0.26986453,-0.016698168534068587,-0.0015979585495930907,0.26010044389218245,-0.006143621001467176
alpha_13,0.003115310168555148,0.31567815,0.37709787,0.8371252411897059,0.28009991709701876,0.3201284017355556,0.8749611580153466
alpha_14,0.003115310168555148,-0.07521034,0.32231987,-0.23334069176258088,-0.09251710214007423,0.28822318080245146,-0.32099119120874803
alpha_15,0.003115310168555148,0.0004937463,0.3736249,0.0013215027181305824,0.0006774998605710721,0.33469620975017395,0.0020242232831819387
alpha_16,0.003115310168555148,-0.0062190606,0.2385475,-0.026070533218427786,-0.008663713277962053,0.21911810716714347,-0.039539011129344166
alpha_17,0.003115310168555148,0.013288297,0.31414086,0.042300441009282264,0.0052935445846045235,0.25019231345700904,0.02115790254081073
alpha_18,0.003115310168555148,0.0088376235,0.3698206,0.023897056157019852,0.00478391987268076,0.32580626991714384,0.014683326609652667
alpha_19,0.003115310168555148,0.0040601892,0.15544423,0.026119908852533246,0.0045023344508503624,0.17103901472648902,0.026323435375395415
